id,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded,code,parentCode,parent_id
78,Судебная деятельность,80456383.0,80448680.0,80448680.0,49550811.0,54906649.0,34874787.556,41323513.714,6448726.158,70.38187035122392,43.35035398467694,2,False,True,False,3.0,3.0,71.0
79,Верховный Суд Республики Казахстан,80456383.0,80448680.0,80448680.0,49550811.0,54906649.0,34874787.556,41323513.714,6448726.158,70.38187035122392,43.35035398467694,3,False,True,False,501.0,3.0,78.0
80,Деятельность по обеспечению законности и правопорядка,56278059.0,59322128.0,59322128.0,26497047.0,41334052.0,21563905.393,28866648.662,7302743.269000001,81.38229664988705,36.350525714451784,2,False,True,False,4.0,3.0,71.0
81,Генеральная прокуратура Республики Казахстан,56278059.0,59322128.0,59322128.0,26497047.0,41334052.0,21563905.393,28866648.662,7302743.269000001,81.38229664988705,36.350525714451784,3,False,True,False,502.0,4.0,80.0
82,"Деятельность по обеспечению безопасности личности, общества и государства",477484514.0,608716721.0,608824489.7,223912132.8,352351551.3,223304434.646,223389261.916,84827.27000001073,99.72859972061326,36.677965230346416,2,False,True,False,5.0,3.0,71.0
83,Канцелярия Премьер-Министра Республики Казахстан,1840304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,False,True,False,104.0,5.0,82.0
84,Аппарат Правительства Республики Казахстан,0.0,1839582.0,1839582.0,945869.0,1040774.0,840567.578,925394.848,84827.27000000002,88.86722981723685,45.6934008921592,3,False,True,False,109.0,5.0,82.0
85,Комитет национальной безопасности Республики Казахстан,427015657.0,543342012.0,543449780.7,201464228.2,307538203.9,201070549.344,201070549.344,0.0,99.8045911874692,36.99891995264172,3,False,True,False,410.0,5.0,82.0
86,Служба государственной охраны Республики Казахстан,48628553.0,63535127.0,63535127.0,21502035.6,43772573.4,21393317.724,21393317.724,0.0,99.49438333178091,33.671637618667226,3,False,True,False,681.0,5.0,82.0
87,Уголовно-исполнительная система,62536300.0,76423084.0,76423084.0,34841587.0,57365261.0,34707829.696,49529223.437,14821393.740999997,99.61609870411472,45.415374359925075,2,False,True,False,6.0,3.0,71.0
